string,category,char_count,tokenizer,token_count,tokens
Guten Morgen,Other,12,cl100k_base (GPT-4),4,"[38, 13462, 386, 40663]"
Guten Morgen,Other,12,o200k_base (GPT-4o),3,"[38, 9627, 79869]"
آپ کیسے ہیں,Urdu/Deutsch Mix,11,cl100k_base (GPT-4),14,"[148, 95, 68483, 46693, 14728, 20665, 151, 240, 220, 151, 223, 14728, 150, 118]"
آپ کیسے ہیں,Urdu/Deutsch Mix,11,o200k_base (GPT-4o),3,"[195767, 179928, 12406]"
"Guten Morgen, آپ کیسے ہیں؟",Urdu/Deutsch Mix,26,cl100k_base (GPT-4),21,"[38, 13462, 386, 40663, 11, 8979, 95, 68483, 46693, 14728, 20665, 151, 240, 220, 151, 223, 14728, 150, 118, 148, 253]"
"Guten Morgen, آپ کیسے ہیں؟",Urdu/Deutsch Mix,26,o200k_base (GPT-4o),8,"[38, 9627, 79869, 11, 26418, 179928, 12406, 11388]"
Die Universität میں پڑھنا sehr schön ہے,Urdu/Deutsch Mix,39,cl100k_base (GPT-4),21,"[18674, 15915, 37714, 24252, 14728, 150, 118, 88517, 150, 239, 150, 122, 12061, 5821, 26574, 75864, 220, 151, 223, 151, 240]"
Die Universität میں پڑھنا sehr schön ہے,Urdu/Deutsch Mix,39,o200k_base (GPT-4o),8,"[8796, 98168, 6431, 114979, 3925, 11529, 38671, 6825]"
"Entschuldigung, مجھے Hilfe چاہیے bitte",Urdu/Deutsch Mix,38,cl100k_base (GPT-4),22,"[2300, 21740, 37668, 43703, 11, 24252, 34190, 150, 122, 151, 240, 93760, 220, 150, 228, 5821, 151, 223, 14728, 151, 240, 68482]"
"Entschuldigung, مجھے Hilfe چاہیے bitte",Urdu/Deutsch Mix,38,o200k_base (GPT-4o),8,"[3263, 181875, 28493, 11, 98964, 48592, 138122, 49309]"
میں Berlin میں wohne اور Kebab کھاتا ہوں,Urdu/Deutsch Mix,40,cl100k_base (GPT-4),28,"[10386, 14728, 150, 118, 20437, 24252, 14728, 150, 118, 289, 2319, 818, 13258, 59756, 735, 3141, 370, 46693, 150, 122, 48732, 5821, 220, 151, 223, 12942, 150, 118]"
میں Berlin میں wohne اور Kebab کھاتا ہوں,Urdu/Deutsch Mix,40,o200k_base (GPT-4o),11,"[136153, 21230, 6431, 81040, 611, 7652, 658, 61471, 47448, 121607, 56138]"
😀🔥❤️,Emoji,4,cl100k_base (GPT-4),8,"[76460, 222, 9468, 242, 98, 49633, 97, 31643]"
😀🔥❤️,Emoji,4,o200k_base (GPT-4o),3,"[84083, 96606, 116548]"
🇵🇰,Emoji,2,cl100k_base (GPT-4),6,"[9468, 229, 113, 9468, 229, 108]"
🇵🇰,Emoji,2,o200k_base (GPT-4o),4,"[55506, 113, 55506, 108]"
🇩🇪,Emoji,2,cl100k_base (GPT-4),6,"[9468, 229, 102, 9468, 229, 103]"
🇩🇪,Emoji,2,o200k_base (GPT-4o),4,"[55506, 102, 55506, 103]"
