string,category,char_count,tokenizer,token_count,tokens
"def hello(): print(""Hello, World!"")",Code,35,cl100k_base (GPT-4),9,"[755, 24748, 4658, 1194, 446, 9906, 11, 4435, 89883]"
"def hello(): print(""Hello, World!"")",Code,35,o200k_base (GPT-4o),9,"[1314, 40617, 9442, 2123, 568, 13225, 11, 5922, 193340]"
for i in range(10): print(i**2),Code,31,cl100k_base (GPT-4),12,"[2000, 602, 304, 2134, 7, 605, 1680, 1194, 1998, 334, 17, 8]"
for i in range(10): print(i**2),Code,31,o200k_base (GPT-4o),12,"[1938, 575, 306, 3352, 7, 702, 3127, 2123, 3649, 410, 17, 8]"
SELECT * FROM users WHERE age > 18 ORDER BY name;,Code,49,cl100k_base (GPT-4),13,"[4963, 353, 4393, 3932, 5401, 4325, 871, 220, 972, 15888, 7866, 836, 26]"
SELECT * FROM users WHERE age > 18 ORDER BY name;,Code,49,o200k_base (GPT-4o),13,"[9974, 425, 8519, 5385, 10979, 5744, 1424, 220, 1157, 31400, 14572, 1308, 26]"
"const arr = [1,2,3].map(x => x * 2).filter(x => x > 2);",Code,55,cl100k_base (GPT-4),26,"[1040, 2961, 284, 510, 16, 11, 17, 11, 18, 948, 2235, 2120, 591, 865, 353, 220, 17, 570, 5428, 2120, 591, 865, 871, 220, 17, 1237]"
"const arr = [1,2,3].map(x => x * 2).filter(x => x > 2);",Code,55,o200k_base (GPT-4o),26,"[1671, 1724, 314, 723, 16, 11, 17, 11, 18, 1651, 3726, 4061, 871, 1215, 425, 220, 17, 741, 9875, 4061, 871, 1215, 1424, 220, 17, 2245]"
"import numpy as np; arr = np.array([1,2,3]); print(arr.mean())",Code,62,cl100k_base (GPT-4),20,"[475, 8760, 439, 2660, 26, 2961, 284, 2660, 7382, 2625, 16, 11, 17, 11, 18, 15328, 1194, 11179, 19231, 2189]"
"import numpy as np; arr = np.array([1,2,3]); print(arr.mean())",Code,62,o200k_base (GPT-4o),20,"[561, 19529, 472, 5374, 26, 1724, 314, 5374, 14557, 5194, 16, 11, 17, 11, 18, 34389, 2123, 19646, 41852, 3516]"
"<div class=""container""><p style=""color:red"">Error</p></div>",Code,59,cl100k_base (GPT-4),17,"[2691, 538, 429, 3670, 3164, 79, 1742, 429, 3506, 42684, 760, 1480, 524, 79, 1500, 614, 29]"
"<div class=""container""><p style=""color:red"">Error</p></div>",Code,59,o200k_base (GPT-4o),17,"[5878, 744, 580, 6896, 6777, 79, 2713, 580, 4991, 102290, 1289, 2255, 808, 79, 3003, 862, 29]"
